Week,amazon: (Google Shopping),amazon: (News search),tax: (News search),amazon: (Youtube search),Open,High,Low,Close ,Adj Close ,Volume
2016-12-18,76,25,9,38,37.94,38.72,37.81,38.03,38.03,"247,732,000"
2016-12-25,83,27,7,44,38.17,39,37.41,37.49,37.49,"264,748,000"
2017-01-01,77,22,9,43,37.9,39.97,37.38,39.8,39.8,"356,958,000"
2017-01-08,72,23,9,36,39.9,41.08,39.48,40.86,40.86,"353,262,000"
2017-01-15,81,21,9,37,40.78,40.8,40.17,40.42,40.42,"238,834,000"
2017-01-22,74,20,13,34,40.34,42.19,40.25,41.79,41.79,"325,536,000"
2017-01-29,73,22,16,33,41.65,42.12,40.2,40.51,40.51,"579,080,000"
2017-02-05,74,20,11,35,40.49,41.4,40.15,41.37,41.37,"302,718,000"
2017-02-12,71,20,12,32,41.58,42.36,41.43,42.25,42.25,"315,218,000"
2017-02-19,67,18,11,29,42.44,43.04,41.89,42.26,42.26,"265,494,000"
2017-02-26,65,28,12,32,42.12,42.74,41.98,42.49,42.49,"246,812,000"
2017-03-05,64,18,12,33,42.26,42.87,42.06,42.62,42.62,"232,582,000"
2017-03-12,65,17,17,34,42.59,42.78,42.36,42.62,42.62,"236,584,000"
2017-03-19,63,19,11,33,42.58,43.14,41.95,42.28,42.28,"268,312,000"
2017-03-26,66,20,12,35,41.9,44.52,41.67,44.33,44.33,"340,070,000"
2017-04-02,65,18,11,32,44.4,46.19,44.27,44.74,44.74,"519,408,000"
2017-04-09,62,18,11,34,44.98,45.56,44.22,44.23,44.23,"236,554,000"
2017-04-16,65,19,12,34,44.38,45.53,44.38,44.93,44.93,"279,180,000"
2017-04-23,67,20,20,34,45.43,47.48,45.15,46.25,46.25,"435,652,000"
2017-04-30,73,19,10,38,46.39,47.72,46.39,46.71,46.71,"363,656,000"
2017-05-07,72,20,8,40,47.05,48.14,46.96,48.07,48.07,"291,886,000"
2017-05-14,74,19,9,39,47.94,48.5,47.21,47.99,47.99,"409,074,000"
2017-05-21,64,18,8,35,48.2,49.95,48.15,49.79,49.79,"315,900,000"
2017-05-28,65,17,7,35,49.83,50.42,49.11,50.34,50.34,"267,666,000"
2017-06-04,66,21,7,38,50.36,50.83,46.35,48.92,48.92,"386,098,000"
2017-06-11,67,24,8,37,48.35,49.99,47.25,49.39,49.39,"696,974,000"
2017-06-18,65,24,8,39,50.85,50.85,49.49,50.19,50.19,"343,504,000"
2017-06-25,67,19,10,40,50.42,50.49,48.26,48.4,48.4,"371,990,000"
2017-07-02,67,18,9,37,48.64,49.01,47.55,48.94,48.94,"249,302,000"
2017-07-09,72,23,8,51,49.25,50.43,49.17,50.09,50.09,"302,418,000"
2017-07-16,67,18,7,41,50.23,51.75,50.19,51.28,51.28,"330,326,000"
2017-07-23,71,23,8,37,51.42,54.17,50.05,51,51,"547,160,000"
2017-07-30,75,20,10,36,50.95,50.95,49.09,49.38,49.38,"439,616,000"
2017-08-06,73,18,7,37,49.53,49.81,47.57,48.4,48.4,"366,024,000"
2017-08-13,85,18,6,37,48.92,49.59,47.73,47.92,47.92,"313,030,000"
2017-08-20,74,19,6,36,47.88,48.4,47.06,47.26,47.26,"342,066,000"
2017-08-27,78,19,7,36,47.33,49.22,46.82,48.91,48.91,"284,860,000"
2017-09-03,75,21,6,33,48.77,49.03,48.02,48.29,48.29,"203,704,000"
2017-09-10,73,24,8,33,48.72,50,48.71,49.34,49.34,"314,320,000"
2017-09-17,67,25,8,36,49.52,49.64,47.72,47.76,47.76,"279,012,000"
2017-09-24,68,26,14,35,47.47,48.24,46.59,48.07,48.07,"338,082,000"
2017-10-01,70,26,10,37,48.2,49.79,47.52,49.48,49.48,"292,964,000"
2017-10-08,68,24,9,38,49.66,50.42,49.01,50.15,50.15,"297,188,000"
2017-10-15,67,26,11,36,50.42,51.12,49.01,49.15,49.15,"246,032,000"
2017-10-22,73,32,13,36,49.34,55.28,48.13,55.05,55.05,"628,696,000"
2017-10-29,68,25,28,36,54.75,56.14,54.34,55.58,55.58,"425,640,000"
2017-11-05,68,27,23,38,55.46,56.78,55.44,56.27,56.27,"291,284,000"
2017-11-12,75,26,24,36,56.15,56.99,56.08,56.49,56.49,"292,244,000"
2017-11-19,79,33,17,41,56.49,59.34,56.13,59.3,59.3,"234,532,000"
2017-11-26,84,31,49,45,60.13,60.67,57.26,58.12,58.12,"583,544,000"
2017-12-03,80,28,35,38,58.69,58.76,56.24,58.1,58.1,"368,534,000"
2017-12-10,79,26,37,40,58.23,59.14,57.85,58.96,58.96,"304,182,000"
